Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Giangiacomo Mora,7200,21,POINT (9.179676675664803 45.45887344822535)
Via Pio IV,7200,21,POINT (9.181524737461123 45.45861198099977)
Via Sant'Antonio,7200,21,POINT (9.193390088287773 45.46131017656703)
Via Urbano III,7200,21,POINT (9.181585861520087 45.45908860948173)
Via della Signora,7200,21,POINT (9.19679389927291 45.46207668053625)
Via San Bernardino,7200,21,POINT (9.196513014679725 45.46243653596957)
Via Fieno,7200,21,POINT (9.187165850684885 45.46007880733416)
Via Rugabella,7200,21,POINT (9.188815798755479 45.45878093758786)
Via Rastrelli,7200,21,POINT (9.190334470967436 45.46271003571465)
Via Privata Pietro Calderon de la Barca,7200,21,POINT (9.191220099661138 45.45853503069772)
Via Sant'Eufemia,7200,21,POINT (9.189833241614847 45.45749792682645)
Via Privata del Don,7200,21,POINT (9.185369099989616 45.45796512585304)
Via Santa Caterina,7200,21,POINT (8.858075071525803 45.55522005332411)
Vicolo Pusterla,7200,21,POINT (9.185850065753726 45.46110003975271)
Via Lodovico da Viadina,7200,21,POINT (9.190754788449562 45.45863321706036)
Via Maddalena,7200,21,POINT (9.188586620110639 45.45971648375825)
Via Olmetto,7200,21,POINT (9.185184410406196 45.45936984146303)
Via Disciplini,7200,21,POINT (9.187173442021939 45.45856992092735)
Via Lentasio,7200,21,POINT (9.191316463843963 45.45811511765879)
Vicolo Laghetto,7200,21,POINT (9.19520427577098 45.461376873203)
Via Paolo da Cannobio,7200,21,POINT (9.190404601353887 45.46146358893009)
Via San Giovanni in Conca,7183,21.17,POINT (9.196820049172644 45.46170504552391)
Via Laghetto,7183,21.17,POINT (9.195689970711397 45.46127765598093)
Via Giovanni Morelli,7167,21.34,POINT (9.206530064906246 45.47195003622767)
Via Fontana,7167,21.34,POINT (9.204708896887212 45.4616941543366)
Via Raiberti,7167,21.34,POINT (9.206530064906246 45.46720003265291)
Viale Bianca Maria,7167,21.34,POINT (9.205849976028253 45.46635538845673)
Viale Regina Margherita,7167,21.34,POINT (9.205114682611725 45.45825290652303)
Viale Emilio Caldara,7167,21.34,POINT (9.203021096514838 45.45496159812288)
Viale Luigi Maino,7167,21.34,POINT (9.206010000000049 45.46828000000005)
Via fratelli Campi,7167,21.34,POINT (9.206699127483754 45.45993371988715)
Piazza Cinque Giornate,7167,21.34,POINT (9.207450000000051 45.46187000000003)
Piazza Umanitaria,7167,21.34,POINT (9.200722934552394 45.45835363532931)
Via Chiossetto,7167,21.34,POINT (9.201095539042935 45.46385405760029)
Via Gioacchino Rossini,7167,21.34,POINT (9.204760769651843 45.46943003010974)
Via Giovanni Mayr,7167,21.34,POINT (9.20520509556178 45.46711504015471)
Via Privata Braida,7167,21.34,POINT (9.202049493648113 45.45468224693837)
Via Vincenzo Bellini,7167,21.34,POINT (9.204283419303062 45.46557463139082)
Via della Commenda,7167,21.34,POINT (9.197065094111977 45.45949505197791)
Via Melchiorre Gioia,6963,23.06,POINT (9.189895302415273 45.48025391026258)
Piazza Guglielmo Oberdan,6771,20.54,POINT (9.20458009895151 45.47431503211814)
Via Fernanda Wittgens,6608,20.25,POINT (9.184242692858696 45.4581424679525)
Via Rivoli,6375,19.75,POINT (9.182802148949774 45.47263462956341)
Via Giuseppe Morcora,6375,19.75,POINT (9.195127424129716 45.47847355108689)
Via Giulianova,6375,19.75,POINT (9.182289007963606 45.47486115532056)
Via Fatebenesorelle,6375,19.75,POINT (9.190237931603384 45.47799901845279)
Via Eugenio Balzan,6375,19.75,POINT (9.187200291387974 45.47535912994987)
Via degli Angioli,6375,19.75,POINT (9.183245095975337 45.47289503294644)
Via Cernaia,6375,19.75,POINT (9.189696681167749 45.47344446039281)
Via Milazzo,6375,19.75,POINT (9.187693480134579 45.47940267230502)
Via Goito,6375,19.75,POINT (9.189020101534666 45.47438003377727)
Via Castelfidardo,6375,19.75,POINT (9.189681248807887 45.47872638627322)
Via Bonaventura Cavalieri,6375,19.75,POINT (8.947129775588206 45.55071891835968)
Via Anfiteatro,6375,19.75,POINT (9.182757691479271 45.4743460828288)
Bastioni di Porta Volta,6375,19.75,POINT (9.181530757991233 45.47852685175111)
Largo Claudio Treves,6375,19.75,POINT (9.186717840455934 45.47511088064921)
Largo La Foppa,6375,19.75,POINT (9.184810104232332 45.478352259811)
Piazza Carlo Donegani,6375,19.75,POINT (9.232053510916369 45.48213322953361)
Piazza Carlo Mirabello,6375,19.75,POINT (9.189822491221019 45.47538723349378)
Vicolo di Porta Tenaglia,6375,19.75,POINT (9.182241999979272 45.47766237132038)
Via Palermo,6375,19.75,POINT (9.183704141033767 45.47552677881519)
Via San Marco,6375,19.75,POINT (9.188594188463856 45.47719515819195)
Via Pinamonte da Vimercate,6375,19.75,POINT (9.182554256271841 45.47892416467688)
Via Pontida,6375,19.75,POINT (9.182746442575137 45.47981483266397)
Via Marsala,6375,19.75,POINT (9.187140792186151 45.47881002778272)
Via San Fermo,6375,19.75,POINT (9.189665088984029 45.47612003305746)
Via Laura Solera Mantegazza,6375,19.75,POINT (9.183139482307453 45.47550662102802)
Via Solferino,6375,19.75,POINT (9.187230062292542 45.47389002771763)
Via Lovanio,6375,19.75,POINT (9.18615073511109 45.47681970880721)
Via Statuto,6375,19.75,POINT (9.185381274308593 45.47693315975443)
Via Tommaso da Cazzaniga,6375,19.75,POINT (9.183313525987275 45.47660034867784)
Bastioni di Porta Venezia,6375,19.75,POINT (9.200987309854966 45.47609705685626)
Piazza San Simpliciano,6375,19.75,POINT (9.183939700439575 45.473679583109)
Corso Italia,6313,19.88,POINT (9.187320000000057 45.45666000000006)
Via della Chiusa,6313,19.88,POINT (9.184407973378146 45.4575540530401)
Piazza Vetra,6313,19.88,POINT (9.183148960349644 45.45842083747356)
Via San Senatore,6313,19.88,POINT (9.189270039436941 45.45799006313253)
Via Eugenio Vaina,6296,20.04,POINT (9.200212541794212 45.45256639763821)
Via dei Pellegrini,6296,20.04,POINT (9.198523789828601 45.45315623640769)
Via Madre Cabrini,6296,20.04,POINT (9.199451057707225 45.45272214483779)
Via Angelo Filipetti,6006,19.61,POINT (8.913925581041573 45.46628062845488)
Piazzale Medaglie d'Oro,5908,18.04,POINT (9.202068954685869 45.45279247048116)
Viale Vittorio Veneto,5839,18.11,POINT (9.198221871645053 45.47791728907485)
Piazzale Antonio Baiamonti,5775,18.13,POINT (9.181755611512576 45.4821707982575)
Viale Monte Santo,5575,17.58,POINT (9.195235220171519 45.47873300294846)
Via Santa Sofia,5425,18.75,POINT (9.187854905342393 45.45606408391771)
Viale Beatrice d'Este,5425,18.75,POINT (9.193245115660799 45.4521151704699)
Via Vettabbia,5425,18.75,POINT (9.184183559223289 45.45561228594963)
Largo Isabella d'Aragona,5425,18.75,POINT (9.189790199921566 45.45185070325225)
Via Banfi,5425,18.75,POINT (9.182877878044975 45.45586802340193)
Corso di Porta Vigentina,5425,18.75,POINT (9.19564245208058 45.45555193376001)
Piazza Andrea Ferrari,5425,18.75,POINT (9.192690117840044 45.4553922833518)
Via Alfredo Oriani,5425,18.75,POINT (9.194255102981927 45.45250003945665)
Via Aldo Lusardi,5425,18.75,POINT (9.188021574625463 45.45384904878419)
Piazza Sant'Eustorgio,5425,18.75,POINT (9.181075507768028 45.45358843328904)
Via San Calimero,5425,18.75,POINT (9.192677046588591 45.45562215362001)
Via Paolo Marchiondi,5425,18.75,POINT (9.193106301983509 45.45553128042485)
Via Vittoria Colonna,5388,17,POINT (9.15294809659779 45.47007229236014)
Via Privata Duccio di Boninsegna,5388,17,POINT (9.157491558201674 45.46976723973031)
Via San Siro,5388,17,POINT (9.152351870664052 45.47097502389487)
Via Privata delle Stelline,5388,17,POINT (9.149733807664003 45.464186848739)
Piazza Ernesto De Angeli,5388,17,POINT (9.150248514835701 45.4654857268962)
Via Sebastiano Veniero,5388,17,POINT (9.147502404039409 45.48287206343969)
Piazza Carlo Irnerio,5388,17,POINT (9.196309111406993 45.46596892731886)
Via Spagnoletto,5388,17,POINT (9.144665607549731 45.47343687993286)
Viale Ergisto Bezzi,5388,17,POINT (9.149760221704314 45.46040870951418)
Via Conconi,5388,17,POINT (9.146521872607691 45.46835614645926)
Viale Belisario,5388,17,POINT (9.158575923899942 45.47327746725704)
Corso Sempione,5388,17,POINT (9.167562333229908 45.47939277061737)
Via privata Asti,5388,17,POINT (8.931565083997128 45.56163002995849)
Via Piero Capponi,5388,17,POINT (9.157560011880504 45.46847997112339)
Via Michelangelo Buonarroti,5388,17,POINT (9.155387258009901 45.47158430805181)
Via Lorenzo Mascheroni,5388,17,POINT (9.165890072083982 45.4696000439439)
Viale Cassiodoro,5388,17,POINT (9.160044314436469 45.47480811705496)
Piazza Firenze,5388,17,POINT (9.156209527531256 45.48760625279285)
Via Paolo Giovio,5388,17,POINT (9.160976203007301 45.46413652294403)
Piazzale Giulio Cesare,5388,17,POINT (9.154446698469037 45.47318138718146)
Via Organdino,5388,17,POINT (9.154285209293263 45.46160675861135)
Via Correggio,5388,17,POINT (9.151620973771069 45.4705320758472)
Piazza Piemonte,5388,17,POINT (9.156063115520796 45.46619379110562)
Via Dei Sormani,5388,17,POINT (9.159405272715052 45.45835346373298)
Via Giorgio Washington,5388,17,POINT (9.179045649586122 45.47466372153714)
Via Giotto,5388,17,POINT (9.15774243803593 45.46867289410158)
Via Giovanni Battisti Soresina,5388,17,POINT (9.162115453633971 45.46495029544555)
Via Giovanni Cantoni,5388,17,POINT (9.16215605630714 45.46438590492874)
Via Giasone del Maino Giasone,5388,17,POINT (9.153347301177391 45.4625136347483)
Via Garian,5388,17,POINT (9.153437145411807 45.45824740657914)
Via Giovanni de Alessandri,5388,17,POINT (9.159016827319578 45.46310390596146)
Via Francesco Cherubini,5388,17,POINT (9.159680091290578 45.46740697428191)
Via Fra Bartolomeo,5388,17,POINT (9.153809679112015 45.45772204200761)
Via Giovanni de Castro,5388,17,POINT (9.156995450121178 45.46635407602663)
Via Etna,5388,17,POINT (9.156020215597611 45.46158012675537)
Via Digione,5388,17,POINT (9.156257697194803 45.46046625599345)
Via Giuseppe Frua,5388,17,POINT (9.147059107717711 45.46594409948241)
Via del Fusaro,5388,17,POINT (9.152125101141692 45.4611150433594)
Via dei Grimani,5388,17,POINT (9.155539365640138 45.45690607655843)
Piazza Po,5388,17,POINT (9.158825091625943 45.46250503531775)
Via Costanza,5388,17,POINT (9.155558898806966 45.45985457587872)
Via Coluccio Salutati,5388,17,POINT (9.160204652265517 45.46365692438994)
Via Luigi Pirandello,5388,17,POINT (9.155067080446956 45.4630787692973)
Via Marchesi de Taddei,5388,17,POINT (9.150260878711515 45.46264158565081)
Via Clefi,5388,17,POINT (9.149565759295982 45.46228881047898)
Via Cavalcabò,5388,17,POINT (9.151099283699425 45.46170900881948)
Via Caboto,5388,17,POINT (9.155889475814169 45.46192551883845)
Via Bartolomeo Panizza,5388,17,POINT (9.163829595223454 45.46366818722949)
Via Antonio Cecchi,5388,17,POINT (9.151586984312045 45.46059022740928)
Via Matilde Serao,5388,17,POINT (9.156560049930846 45.46270504848226)
Via privata Riccardo Galli,5388,17,POINT (9.144068933527382 45.4813503740911)
Via Andrea Verga,5388,17,POINT (9.160112978899949 45.46232606546161)
Via Altino,5388,17,POINT (9.162465241542295 45.46051134947057)
Via Raffaello Sanzio,5388,17,POINT (9.152685396695691 45.46858101596582)
