Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Filippino Degli Organi,2975,7.75,POINT (9.21699552293418 45.45459735904849)
Via Ennio,2975,7.75,POINT (9.218108075378327 45.45284062553151)
Via Sigieri,2975,7.75,POINT (9.210281015171468 45.45270395759754)
Piazzale Lodi,2975,7.75,POINT (9.210393784116006 45.44768133695445)
Piazza Emilio Salgari,2975,7.75,POINT (9.220743505858474 45.44990388642821)
Via Giovanni Scheiwiller,2975,7.75,POINT (9.221657250585842 45.44462088555172)
Via Gonzales,2975,7.75,POINT (9.219962022789309 45.44469467010892)
Via Alberto Einstein,2975,7.75,POINT (9.433503004445276 45.57482684510645)
Via Neversa,2975,7.75,POINT (9.18178000000006 45.46796000000006)
Via Lattanzio,2975,7.75,POINT (9.215409607176202 45.45096326341151)
Via Leo Longanesi,2975,7.75,POINT (9.217765019694303 45.44588996935243)
Via Luigi Resnati,2975,7.75,POINT (9.221789198009416 45.45117982084547)
Via Luisa Sanfelice,2975,7.75,POINT (9.222785089734387 45.45671504710647)
Via Marcellino Ammiano,2975,7.75,POINT (9.217896194958284 45.45143926396464)
Via Val Strona,2975,7.75,POINT (9.219527700881263 45.45199138038541)
Via Cornelio Tacito,2975,7.75,POINT (9.218495105960628 45.44786503559344)
Via Nicastro,2975,7.75,POINT (9.221590081798652 45.45187504284637)
Via Pier Candido Decembrio,2975,7.75,POINT (9.216392384128484 45.44841966579155)
Via Cosenza,2975,7.75,POINT (9.222530112239781 45.45132003512761)
Via Val Bogna,2975,7.75,POINT (9.219360076458827 45.45113504652453)
Via Gressoney,2975,7.75,POINT (9.21934449120293 45.45153224003668)
Via Collecchio,2960,9.88,POINT (9.141386853797242 45.48570004547281)
Via Giovanni Cimabue,2960,9.88,POINT (9.136260044358778 45.49140829895392)
Viale Corsica,2921,9.33,POINT (9.237389967044386 45.46211005908535)
Via Andrea Costa,2894,9.25,POINT (9.221170543666499 45.4876779612376)
Viale Molise,2858,8.5,POINT (9.223621999850462 45.45803260509506)
Via Luigi Chiarelli,2841,9.38,POINT (9.122149237198672 45.49155983435433)
Via Karl Ziegler,2841,9.38,POINT (9.124960107321357 45.48963004745991)
Via Adolfo Omodeo,2841,9.38,POINT (9.116321830206248 45.49192822722997)
Via G.B. Piranesi,2800,8.88,POINT (9.220250070827049 45.46214299253479)
Viale Puglie,2781,7.38,POINT (9.22406780218064 45.44919648553471)
Via Silvio Spaventa,2750,9.25,POINT (9.177090275494875 45.44065868939782)
Via Giovanni Spadolini,2750,9.25,POINT (9.192657642908451 45.44336285692754)
Via Dei Fontanili,2750,9.25,POINT (9.193099113032783 45.44010889218608)
Via Brembo,2750,9.25,POINT (9.208629289707353 45.4446902707211)
Via Erasmo Da Rotterdam,2750,9.25,POINT (9.190792659178832 45.44266580197176)
Via Ampola,2750,9.25,POINT (9.201855100319662 45.44083004139404)
Via Lorenzini Giovanni,2750,9.25,POINT (9.202071841211785 45.44401990695902)
Via Boeri,2750,9.25,POINT (9.185969983722725 45.44085830901201)
Via Morivione,2750,9.25,POINT (9.195143790152898 45.44085458402076)
Via Briano,2750,9.25,POINT (9.182675084649901 45.43863004326758)
Via Gamboloita,2750,9.25,POINT (9.222140102285024 45.44030504088863)
Via Pietrasanta,2750,9.25,POINT (9.194969941287251 45.444086217498)
Via Privata Astura,2750,9.25,POINT (9.195485105363403 45.43964004164545)
Via privata Ebro,2750,9.25,POINT (9.198175109549496 45.43936505235702)
Via Bonghi,2750,9.25,POINT (9.182828369572954 45.44095293039152)
Via Giovanni Pezzoti,2750,9.25,POINT (9.183438946974391 45.43891493953861)
Via Rutilia,2750,9.25,POINT (9.198574195637788 45.44062379698652)
Via Oglio,2750,9.25,POINT (9.218023301114188 45.44006292937424)
Via Aicardo,2750,9.25,POINT (9.185187691258966 45.44022633546398)
Via Piero Preda,2750,9.25,POINT (9.183711469346774 45.44338908258808)
Piazza Caduti del Lavoro,2750,9.25,POINT (9.184782484182069 45.44369314447494)
Via Magliocco,2750,9.25,POINT (9.184250086166074 45.44017505852513)
Via Giulio Carcano,2750,9.25,POINT (9.180028185615059 45.43939482646409)
Via Pietro Pomponazzi,2750,9.25,POINT (9.180701890377518 45.44177808554286)
Via S. Ampellio,2750,9.25,POINT (9.184611863424898 45.43836299432656)
Via Giovanni Pezzotti,2750,9.25,POINT (9.183438946974391 45.43891493953861)
Via Privata Vivarini,2750,9.25,POINT (9.180098268574699 45.43866508988464)
Via Carlo Bazzi,2750,9.25,POINT (9.187804313569128 45.44049779388275)
Via Ascanio Sforza,2750,9.25,POINT (9.175488473096738 45.44049895413001)
Via Buzzi Vittore,2750,9.25,POINT (9.195697964644076 45.44247919478408)
Via Francesco Brioschi,2750,9.25,POINT (9.181778969998707 45.43941605973109)
Via De Angeli Carlo,2750,9.25,POINT (9.196959997432206 45.44334026176325)
Via Ruggiero Bonghi,2750,9.25,POINT (9.182828369572954 45.44095293039152)
Viale Alcide De Gasperi,2711,9.06,POINT (9.142439684297786 45.48747266011839)
Piazzale Vincenzo Cuoco,2706,7.63,POINT (9.223693775908703 45.45131905405074)
Piazzale Diego Velasquez,2700,9.5,POINT (9.14089542011061 45.46751065033347)
Piazzale Brescia,2700,9.5,POINT (9.144166377172647 45.47071811081074)
Via Giovanni Battista Moroni,2700,9.5,POINT (9.140257999033084 45.46560564752208)
Via Giovanni Alfonso Borelli,2700,9.5,POINT (9.138153177524293 45.45709832139813)
Via Jacopo Palma,2700,9.5,POINT (9.141163183836836 45.46488023970571)
Via Giò Ponti,2700,9.5,POINT (9.133415058782973 45.45783002882163)
Via Ludovico Cavaleri,2700,9.5,POINT (9.132995134541744 45.46051864798952)
Via Giuseppe Canella,2700,9.5,POINT (9.133110083235948 45.45972503044629)
Piazza Monte Falterona,2700,9.5,POINT (9.140757104767042 45.47447613780762)
Via privata Giuseppe Padulli,2700,9.5,POINT (9.135189931257663 45.46483604583922)
Via Luigi Scrosati,2700,9.5,POINT (9.139536737071582 45.45375590406161)
Via privata Val Leventina,2700,9.5,POINT (9.137730221641249 45.46807857989066)
Viale Caterina da Forlì,2700,9.5,POINT (9.147213465463372 45.45934004963345)
Via Zappa,2700,9.5,POINT (9.18178000000006 45.46796000000006)
Via Val Lavizzana,2700,9.5,POINT (9.142025117362863 45.46191505410798)
Via Val Bregaglia,2700,9.5,POINT (9.127817276032831 45.46757655067164)
Via Sofonisba Anguissola,2700,9.5,POINT (9.141502723064065 45.46424877379145)
Via Salvatore Barzilai,2700,9.5,POINT (9.13985828022123 45.45156435395494)
Via Sally Mayer,2700,9.5,POINT (9.137588185258233 45.45592898319008)
Via Rosa Vergani Marelli,2700,9.5,POINT (9.134257172093216 45.45489255319671)
Via Rembrandt,2700,9.5,POINT (9.132294248151245 45.46797086290343)
Via privata Poggibonsi,2700,9.5,POINT (9.139665215953935 45.46637044811316)
Piazza Melozzo Da Forlì,2700,9.5,POINT (9.130430593953236 45.4674461608496)
Via privata Piero Martinetti,2700,9.5,POINT (9.134989863743124 45.4665873802915)
Via privata Nicolò Alunno,2700,9.5,POINT (9.134300103939268 45.46411505223443)
Via privata delle Primule,2700,9.5,POINT (8.809820350708067 45.59397102160818)
Via Pietro Strozzi,2700,9.5,POINT (9.144524994261561 45.45785393174179)
Via Pantigliate,2700,9.5,POINT (9.131790059214367 45.45939505587305)
Via Montecuccoli,2700,9.5,POINT (9.132144385709116 45.45878599770268)
Via Martinetti,2700,9.5,POINT (9.133504166748187 45.46657689099221)
Via Marcello Nizzoli,2700,9.5,POINT (9.132405081359863 45.4582550541769)
Via Malatesta,2700,9.5,POINT (9.135850085474488 45.46383505475886)
Via Gian Pietro Puricelli,2700,9.5,POINT (9.129548869913553 45.46527457650157)
Via privata Micene,2700,9.5,POINT (9.134940062246727 45.4722450582647)
Via Albenga,2700,9.5,POINT (9.11883542607805 45.47429748857051)
Via Val Pellice,2700,9.5,POINT (9.120073815796717 45.47499784022505)
Via Pier Alessandro Paravia,2700,9.5,POINT (9.127370072122375 45.46909503427759)
Piazza Melozzo da Forlì,2700,9.5,POINT (9.130430593953236 45.4674461608496)
Piazza Giovanni delle Bande Nere,2700,9.5,POINT (9.137826954886785 45.46182629203819)
Piazza Carlo Frattini,2700,9.5,POINT (9.196309111406993 45.46596892731886)
Piazza Bettini,2700,9.5,POINT (9.235804657447359 45.48464140667059)
Via privata Armida Barelli,2700,9.5,POINT (9.131590067004581 45.47057003968887)
Largo Cavalieri di Malta,2700,9.5,POINT (9.13818742539357 45.45302779751756)
Via Varenna,2700,9.5,POINT (9.117286498676217 45.47533895066059)
Via Varazze,2700,9.5,POINT (9.143115551044637 45.47078008431338)
Via Val Poschiavina,2700,9.5,POINT (9.121510282530201 45.47456702749276)
Via Val Pantena,2700,9.5,POINT (9.118175082429403 45.47403503464258)
Via Alberto Durer,2700,9.5,POINT (9.136930499122197 45.32295873081387)
Via Storo,2700,9.5,POINT (9.116099694271451 45.4756372441197)
Viale San Gimignano,2700,9.5,POINT (9.13640933559104 45.45550214086149)
Via Romeo Frassinetti,2700,9.5,POINT (9.141538485045153 45.46966399634692)
Via privata Gianicolo,2700,9.5,POINT (9.13051754818855 45.46920637268983)
Via Roald Amundsen,2700,9.5,POINT (9.134585088647242 45.46901004177938)
Via privata Tracia,2700,9.5,POINT (9.135641501440681 45.47099492304487)
Via privata Linda Malnati,2700,9.5,POINT (9.132445063038006 45.4699450430786)
Via privata Preneste,2700,9.5,POINT (9.134185620277581 45.47221466584261)
Via Passo di Brizio,2700,9.5,POINT (9.122345139636035 45.4725975704821)
Via Ambrogio Alciati,2700,9.5,POINT (9.137620405340652 45.45642732273591)
Via Fra' Galgario,2700,9.5,POINT (9.139786654861561 45.46449699092196)
Via delle Tuberose,2700,9.5,POINT (9.13735569536386 45.45868593039329)
Via Alfonso Capecelatro,2700,9.5,POINT (9.131801737903759 45.46972454098707)
Via Filippo Severoli,2700,9.5,POINT (9.133740067078605 45.45855003430441)
Via Angelo de Vincenti,2700,9.5,POINT (9.141111408192051 45.47727465310551)
Via Ernesto Besenzanica,2700,9.5,POINT (9.1320777186986 45.46414536365783)
Via Branca,2700,9.5,POINT (9.133830088718724 45.46714003918093)
Via Carlo Maratta,2700,9.5,POINT (9.138826614839829 45.4729918063242)
Via Corno di Cavento,2700,9.5,POINT (9.125835288654891 45.47160758191502)
Via Domaso,2700,9.5,POINT (9.115945077089577 45.47525003341737)
Via Felice Bisleri,2700,9.5,POINT (9.140442885379265 45.46773243466789)
Via Giuseppe Massarenti,2700,9.5,POINT (9.139341034425176 45.46862065787696)
Via Isacco Newton,2700,9.5,POINT (9.499248984826986 45.52559834052465)
Via del Molinazzo,2700,9.5,POINT (9.135197992318904 45.46579197909062)
Via Amero Caglioni,2700,9.5,POINT (9.18178000000006 45.46796000000006)
Via dei Benedettini,2700,9.5,POINT (9.132170730482603 45.4559650975547)
Via Mariotto Albertinelli,2700,9.5,POINT (9.139715902409927 45.47473051571028)
Via Claude Debussy,2700,9.5,POINT (9.130729803125282 45.46609213642327)
Via Monte Baldo,2700,9.5,POINT (9.120006215873028 45.47567005058548)
Via Caterina da Forlì,2700,9.5,POINT (9.147213465463372 45.45934004963345)
Via Arzaga,2700,9.5,POINT (9.135211885051294 45.45608461816143)
Via Antonio Panizzi,2700,9.5,POINT (9.138078856938657 45.4521088051814)
Via Antonello da Messina,2700,9.5,POINT (9.142489486321471 45.46582473568297)
Via Annoni,2700,9.5,POINT (9.13065440128419 45.46409712632352)
Via Fantoni,2700,9.5,POINT (9.13602471587205 45.46875950921716)
Via Privata Giulio Branca,2700,9.5,POINT (9.133830088718724 45.46714003918093)
Via Curio Dentato,2700,9.5,POINT (9.141773349282127 45.44935118668781)
Via degli Zuccaro,2700,9.5,POINT (9.140589409964862 45.45030517474449)
Via Gentile Bellini,2700,9.5,POINT (9.142707450548182 45.45120312222235)
Via Vespri Siciliani,2700,9.5,POINT (9.146452407794786 45.45184673388779)
Via Pietro Rondoni,2700,9.5,POINT (9.144636646321922 45.45560534436948)
Via Pietro Redaelli,2700,9.5,POINT (9.144129260984512 45.45366874942007)
Via Mario Donati,2700,9.5,POINT (9.146092206062875 45.45470018463798)
Via Vincenzo Maria Coronelli,2700,9.5,POINT (9.139523056440526 45.45007400151597)
Via Francesco Carlini,2700,9.5,POINT (9.142349895559203 45.45310171328077)
Via Almerico da Schio,2700,9.5,POINT (9.139135141741916 45.44949502297126)
Via Tito Vignoli,2700,9.5,POINT (9.14819468728632 45.45135794281095)
Via dei Biancospini,2700,9.5,POINT (9.140247549552223 45.44910729551562)
Via privata Metauro,2700,9.5,POINT (9.14950508584711 45.45190004187259)
Piazza della Trivulziana,2700,8.25,POINT (9.213050000000067 45.51641000000006)
Via Segnanino,2700,8.25,POINT (9.211150086117513 45.51016503968749)
Via Privata Rosalba Carriera,2700,9.5,POINT (9.143380169614161 45.44749383646852)
Via privata Lodovico Pogliaghi,2700,9.5,POINT (9.143870099980319 45.44776003130141)
Via Giacinto Bruzzesi,2700,9.5,POINT (9.145750353750953 45.45085380244329)
Via Massimo Gorky,2700,9.5,POINT (9.294488951194236 45.39034419120341)
Via Franco Sacchetti,2700,8.25,POINT (9.207370154345595 45.51202209512884)
Via Bernardo Quaranta,2696,8.5,POINT (9.207878225452573 45.43676470289517)
Via privata Marcello Moretti,2675,8.25,POINT (9.238027590124284 45.4954056929333)
Via Ruggero Ruggeri,2675,8.25,POINT (9.238833204909655 45.49480026115549)
Via Don Giovanni Calabria,2675,8.25,POINT (9.240293568477162 45.49819280557148)
Via Rubino Francesco,2675,8.25,POINT (9.248490315939975 45.50428957673588)
Via Giorgio Marazzani,2675,8.25,POINT (9.239372156400192 45.49658436950111)
Via Canneto,2675,8.25,POINT (9.24898042641469 45.50218055043032)
Via Civitavecchia,2675,8.25,POINT (9.248044664586203 45.50288028502072)
Via Capraro Vittorio,2675,8.25,POINT (9.252330083051845 45.50705503928803)
Via Narni,2675,8.25,POINT (9.247229111117731 45.50239398272545)
Via Giuseppe Puricelli Guerra,2675,8.25,POINT (9.254584025857154 45.50899671805762)
Via Brà,2675,8.25,POINT (9.247571211072376 45.50294771945324)
Via Carlo Alberto Pisani Dossi,2675,8.25,POINT (9.24317661856637 45.49049499872739)
Via Boves,2675,8.25,POINT (9.236786625135423 45.49563628662292)
Via Molfetta,2675,8.25,POINT (9.249612238092118 45.50242198779205)
Via Ronchi,2675,8.25,POINT (9.237123569160998 45.48855895122878)
Via Castano,2675,8.25,POINT (9.248755075618973 45.50270506204232)
Via Corato,2675,8.25,POINT (9.248990062274501 45.50256003416263)
Via Andrea Bregno,2675,8.25,POINT (9.249655082472444 45.50211005169065)
Via Rovato,2675,8.25,POINT (9.249890069127972 45.50196504476571)
Via Recco,2675,8.25,POINT (9.24873575834018 45.50301093314284)
Via Pusiano,2675,8.25,POINT (9.250335064367547 45.50145504786701)
Viale Lucania,2669,8.13,POINT (9.224082903397042 45.44361878628908)
Via Giacomo Antonini,2669,8.13,POINT (9.193497821203479 45.43726667018282)
Via privata Tirso,2669,8.13,POINT (9.262968121602006 45.38447899168699)
Viale Giovanni da Cermenate,2669,8.13,POINT (9.180738094335783 45.43791885207839)
Via Solaroli,2669,8.13,POINT (9.199672027056065 45.436149585431)
Piazzale Luigi Emanuele Corvetto,2669,8.13,POINT (9.224656674403631 45.43977603351569)
Via Polesine,2669,8.13,POINT (9.220247910858541 45.43820586966059)
Via Francesco Martinengo,2669,8.13,POINT (9.227080525080966 45.44226358951108)
Via Privata passo Pordoi,2669,8.13,POINT (9.209635057118547 45.43489005902543)
Via Carlo Marochetti,2669,8.13,POINT (9.228169210449977 45.43811794301661)
Via Lampedusa,2669,8.13,POINT (9.188669288067544 45.43417618489537)
Via San Basilio,2663,8.25,POINT (9.20793732263078 45.50957558721846)
Via Filippo Brunelleschi,2654,9.75,POINT (9.145139218367035 45.44772328512426)
Via dell'Assunta,2642,7.75,POINT (9.204295760570266 45.43288061086917)
Cavalcavia Don Lorenzo Milani,2631,9.88,POINT (9.145826523063876 45.44604547477857)
Via Latisana,2625,8.25,POINT (9.197355107961855 45.50276002637239)
Via Lepanto,2625,8.25,POINT (9.202717198371515 45.49794445872342)
Via Leonida Bissolati,2625,8.25,POINT (9.201623982434052 45.50182862687628)
Via Trescore,2625,8.25,POINT (9.194348377617127 45.50272103092776)
Via Leone Fortis,2625,8.25,POINT (9.195220453431171 45.49592649546203)
Via Gioacchino Murat,2625,8.25,POINT (9.188408957082638 45.49894005781923)
Via Luigi Pasteur,2625,8.25,POINT (9.220585091607916 45.46386003283033)
Via Lussino,2625,8.25,POINT (9.196680071389622 45.50211005169066)
Viale Monza,2625,8.25,POINT (9.218540000000075 45.49173000000008)
Via Tullio Morgagni,2625,8.25,POINT (9.200480091013247 45.50040179703682)
Via Gino Rocca,2625,8.25,POINT (9.202792646646003 45.49943052811733)
Via Gianfranco Zuretti,2625,8.25,POINT (9.208624673455073 45.49425742200421)
Via Gaetano Serrani,2625,8.25,POINT (9.201654955671499 45.49826270497884)
Via Luigi Biraghi,2625,8.25,POINT (9.192387346155872 45.49930162913275)
Via Salsomaggiore,2625,8.25,POINT (9.191429570151088 45.50186922623949)
Via Lussinpiccolo,2625,8.25,POINT (9.196625086104788 45.5014150452341)
Via Eugenio Torelli Vioiller,2625,8.25,POINT (9.20179259137757 45.50056884125659)
Via Rho,2625,8.25,POINT (9.214246491714814 45.49972369659348)
Via Sonzogno,2625,8.25,POINT (9.199140076152588 45.49526505428146)
Via privata Tarvisio,2625,8.25,POINT (9.15868637453748 45.56001748911272)
Via privata Meina,2625,8.25,POINT (9.203885071540199 45.4935800402861)
Via privata Giampietro Lucini,2625,8.25,POINT (9.206070186727887 45.50010008542601)
Via Guido Cavalcanti,2625,8.25,POINT (9.213021701300168 45.49223748711326)
Via privata Fiuggi,2625,8.25,POINT (9.19200729488346 45.50267106635999)
Via Guido Guinizzelli,2625,8.25,POINT (9.291560072121939 45.3996800307183)
Via Taormina,2625,8.25,POINT (9.190775975171697 45.5002377062566)
Via Sarzana,2625,8.25,POINT (9.193474974063927 45.50246992896352)
Via privata Angera,2625,8.25,POINT (9.204194910259949 45.49517720169957)
Via Pietro da Bescapè,2625,8.25,POINT (9.202066913312684 45.49853327371174)
Via Perrone di San Martino,2625,8.25,POINT (9.201567738200062 45.49771149679457)
Via Grazia Deledda,2625,8.25,POINT (9.215930993512391 45.48754091667671)
Via Paolo Trubetskoy,2625,8.25,POINT (9.207865180207271 45.50064461196931)
Via Pallanza,2625,8.25,POINT (9.201027304502244 45.50286351571619)
Via Pacifico Valussi,2625,8.25,POINT (9.198899733215226 45.4989761977215)
Via Montalbino,2625,8.25,POINT (9.193067592324498 45.49774753635688)
Via Fiuggi,2625,8.25,POINT (9.19200729488346 45.50267106635999)
Via Cesare Zocchi,2625,8.25,POINT (9.197810077666219 45.50333003769784)
Via Eugenio Pellini,2625,8.25,POINT (9.203495498913842 45.49635392380838)
Via Ettore Ximenes,2625,8.25,POINT (9.198746806418043 45.49860400905109)
Via Villa Mirabello,2625,8.25,POINT (9.197990081285342 45.49718617567418)
Piazzale Istria,2625,8.25,POINT (9.198637385444572 45.50141772947937)
Piazzale Giuseppe Massari,2625,8.25,POINT (9.19801992835162 45.49506714133329)
Piazza Caserta,2625,8.25,POINT (9.195990851332503 45.50131771613991)
Largo Vulci,2625,8.25,POINT (9.19383981646363 45.49881027963409)
Largo Desio,2625,8.25,POINT (9.196396660852459 45.50343017509918)
Via Natale Battaglia,2625,8.25,POINT (9.214789129750001 45.48909324653064)
Via Pietro Crespi,2625,8.25,POINT (9.220570227098602 45.49308617533696)
Via Pietro Marocco,2625,8.25,POINT (9.212863145348242 45.48970665430028)
Via Popoli Uniti,2625,8.25,POINT (9.217586339151223 45.4959703549506)
Via privata Bassano del Grappa,2625,8.25,POINT (9.287360109988299 45.53576004017879)
Via privata Oldrado da Tresseno,2625,8.25,POINT (9.214265094704118 45.49056004057198)
Via Roggia Scagna,2625,8.25,POINT (9.221165876790339 45.49408420125205)
Via Rovereto,2625,8.25,POINT (9.22052233551956 45.49476969359868)
Via Ruggero Leoncavallo,2625,8.25,POINT (9.224511969984874 45.49044795896551)
Via Sauli,2625,8.25,POINT (9.218182343958071 45.49119002441466)
Via Soperga,2625,8.25,POINT (9.210410047886143 45.48880005045271)
Via Spoleto,2625,8.25,POINT (9.216460766053649 45.49533484310075)
Via Termopili,2625,8.25,POINT (9.220099362686808 45.49244977199788)
Piazzale Salvatore Farina,2625,8.25,POINT (9.199642251696313 45.4985276764294)
Via Abbazia,2625,8.25,POINT (9.19872476143636 45.5006168218976)
Via Carlo Landriani,2625,8.25,POINT (9.197275060786524 45.49616504018016)
Via Luigi Varanini,2625,8.25,POINT (9.214728706540349 45.49312609653615)
Via Edolo,2625,8.25,POINT (9.206986285274413 45.49377544780448)
Via Marco Aurelio,2625,8.25,POINT (9.221239687411314 45.491090070061)
Via della Giustizia,2625,8.25,POINT (9.204950238732938 45.49900955761876)
Via del Progresso,2625,8.25,POINT (9.205375600026423 45.49666529606234)
Via Dario Papa,2625,8.25,POINT (9.202706422427466 45.49865992666867)
Via Cufra,2625,8.25,POINT (9.192498531405592 45.50138370667332)
Via Turro,2625,8.25,POINT (9.22033858426021 45.49562012343865)
Via Cardinale Giovanni Cagliero,2625,8.25,POINT (9.203095226349772 45.49570270812816)
Via Adeodato Ressi,2625,8.25,POINT (9.20460889395034 45.49627796703568)
Via Asmara,2625,8.25,POINT (9.194603117054177 45.50049805342812)
Via Arturo Colautti,2625,8.25,POINT (9.198133357017634 45.49736306201372)
Via Arnaldo Vassallo,2625,8.25,POINT (9.199892056915576 45.4962383150459)
Via Antonio Ghislanzoni,2625,8.25,POINT (9.199441930109233 45.4955860837312)
Via Angelo Fava,2625,8.25,POINT (9.204262414540038 45.49709941373041)
Via Alfredo Coamdini,2625,8.25,POINT (9.18178000000006 45.46796000000006)
Via Airolo,2625,8.25,POINT (9.193209543009814 45.50102036392838)
Via Umberto Fracchia,2625,8.25,POINT (9.202495436178532 45.49978286869099)
Via Scipio Slataper,2625,8.25,POINT (9.199763738842547 45.50027614054351)
Via Pompeo Cambiasi,2625,8.25,POINT (9.230962450214424 45.48998154489228)
Via Cherasco,2625,8.25,POINT (9.193158311077571 45.51076682940485)
Via Valbrona,2625,8.25,POINT (9.205966787437829 45.50939982585975)
Via Cino da Pistoia,2625,8.25,POINT (9.200205080770047 45.50831004069575)
Via Ciriè,2625,8.25,POINT (9.195019880924146 45.51140429432664)
Via Costalovara,2625,8.25,POINT (9.194733686496271 45.50464536233205)
Piazza Sire Raul,2625,8.25,POINT (9.229872310646165 45.49232929319399)
Via Demonte,2625,8.25,POINT (9.199074205670536 45.51086091682735)
Via Benefattori dell'Ospedale,2625,8.25,POINT (9.18826825503916 45.50607509467078)
Via Monzambano,2625,8.25,POINT (9.186793870806774 45.50504139837018)
Via Francesco Gatti,2625,8.25,POINT (9.191357380268098 45.50689921356454)
Via Eugenio Camerini,2625,8.25,POINT (9.230632540476337 45.49068396498007)
Via Gino Pollini,2625,8.25,POINT (9.205825996562792 45.50780701988664)
Via degli Artigianelli,2625,8.25,POINT (9.186850812723057 45.50046087996611)
Via Romolo Bitti,2625,8.25,POINT (9.20141095403914 45.50627653559712)
Via Giuseppe Vidali,2625,8.25,POINT (9.200500081852311 45.50761503423919)
Via Graziano Imperatore,2625,8.25,POINT (9.191102492649595 45.51235754785679)
Via Guido Guarini Matteucci,2625,8.25,POINT (9.198799297171739 45.50559859323267)
Via Michele De Angelis,2625,8.25,POINT (9.192655676299951 45.50706698070829)
Via Padre Luigi Monti,2625,8.25,POINT (9.193560377253656 45.5052857560863)
Via Pigello Portinari,2625,8.25,POINT (9.210090110641943 45.5024100400053)
Piazzale Francesco Durante,2625,8.25,POINT (9.223980703202926 45.48874783133268)
Via Privata Elio Reguzzoni,2625,8.25,POINT (9.203514164819081 45.50757260828145)
Viale Evaristo Stefini,2625,8.25,POINT (9.202749921795437 45.49712547413255)
Via Giulio e Corrado Venini,2625,8.25,POINT (9.217016640051551 45.49444345921072)
Largo Rapallo,2625,8.25,POINT (9.192351035263494 45.50632670750976)
Via Fratelli Lumiére,2625,8.25,POINT (9.212335420423637 45.49129339978422)
Piazza Greco,2625,8.25,POINT (9.211538285263144 45.50212070788629)
Viale Giovanni Suzzani,2625,8.25,POINT (9.207051223365553 45.52291881209951)
Via delle Leghe,2625,8.25,POINT (9.217090028389595 45.49227503799347)
Viale Fulvio Testi,2625,8.25,POINT (9.201084573005211 45.50668518858556)
Via Vittorio Bersezio,2625,8.25,POINT (9.199103975628114 45.49641336029961)
Via Giuseppe Giacosa,2625,8.25,POINT (9.222464183493937 45.49280398883057)
Via Vincenzo Salvagnoli,2625,8.25,POINT (9.199048202902551 45.49610511744751)
Via dei Transiti,2625,8.25,POINT (9.218408614311228 45.49107474197023)
Via dei Cybo,2625,8.25,POINT (9.214985100186894 45.48965504648613)
Via Bambaia,2625,8.25,POINT (9.218712838129477 45.48736108233764)
Via Apulia,2625,8.25,POINT (9.215622836907958 45.49407593618375)
Via Val Passiria,2588,7,POINT (9.226925121260308 45.44090503847269)
Via Livinallongo,2588,7,POINT (9.233048271571787 45.43667352417758)
Via Giuseppe Avezzana,2588,7,POINT (9.228343738949103 45.44055272956418)
Via Marco d'Agrate,2588,7,POINT (9.212212277796231 45.43693112285393)
Via Pietro Gaggia,2588,7,POINT (9.23403875043401 45.43865589382485)
Via Osimo,2588,7,POINT (9.226107663362287 45.43526908082987)
Via San Dionigi,2588,7,POINT (9.221191588161124 45.43297904596957)
Via Privata Val mesolcina,2588,7,POINT (9.22592004725054 45.43972004691126)
Via Privata Val Maggia,2588,7,POINT (9.226270291682026 45.44002032065077)
Via Panigarola,2588,7,POINT (9.222774893651316 45.43562297237625)
Via privata Pietro Gaggia,2588,7,POINT (9.23403875043401 45.43865589382485)
Via Paolo Pallia,2588,7,POINT (9.233760164672777 45.43633057185048)
Via Privata Cortina d'Ampezzo,2588,7,POINT (9.208204972589177 45.43596585850722)
Via Pecori Giraldi,2588,7,POINT (9.232015073873114 45.44088003944645)
Via Pismonte,2588,7,POINT (9.215867904498374 45.4364372775675)
Via Piazzetta Giovanni Battista,2588,7,POINT (9.222393878364969 45.43512912815176)
Via Medeghino,2588,7,POINT (9.179246197243664 45.43097210155675)
Via Giovanni Montemartini,2588,7,POINT (9.226827615532226 45.43643788063336)
Via Eugenio Brizi,2588,7,POINT (9.22935507690039 45.43832504676577)
Via Chopin,2588,7,POINT (9.206037289870817 45.42516003149802)
Via Da Foix,2588,7,POINT (9.18178000000006 45.46796000000006)
Via Fra' Pampuri,2588,7,POINT (8.952812140867799 45.39438798940636)
Via Guarneri,2588,7,POINT (9.204395834270994 45.42768712004457)
Via Matazone da Calignano,2588,7,POINT (9.20354988253545 45.42288358523263)
Via Mezzanotte,2588,7,POINT (9.210590091166353 45.4263000541489)
Via Muzio detto Sforza Attendolo,2588,7,POINT (9.200089748628853 45.49099509649635)
via Noto,2588,7,POINT (9.201414858959049 45.4314995183162)
Via Patecchio Girardo,2588,7,POINT (9.202429597216685 45.42256205664694)
Via Anton Giulio Barrili,2588,7,POINT (9.177630362150918 45.43397004037814)
Via Agilulfo,2588,7,POINT (9.174510251729847 45.43293513662034)
Via Ramusio Giovanni Battista,2588,7,POINT (9.201498283914932 45.42233728478234)
Via Rogers,2588,7,POINT (9.208610632550227 45.42562725352965)
Via Veglio Maffeo,2588,7,POINT (9.201862656673423 45.42167680162095)
Piazza Agrippa,2588,7,POINT (9.183536028056093 45.43283571408513)
Piazza Angilberto II,2588,7,POINT (9.217798427995612 45.43688659822713)
